model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,vocab_size,output_tokens,seed,d
simulation 2B,0.4263912390798682,0.6078431372549019,0.0,0.9615384615384616,0.5555,0.559,0.5572445042620009,0.6422384965551182,0.8159448818897638,0.3345226377952756,0.9783464566929134,0.5671548966535432,0.7914616141732284,0.17765748031496062,0.9783464566929134,4.04344190046686e-05,1.5331975191656966e-05,0.00014008820057824774,0.007,0.441,0.552,0.6693280212272604,1000,128,1234,1.0
simulation 2B,0.9160758442762376,0.9444444444444444,0.6666666666666666,1.0,0.99025,0.995,0.992619317466314,0.9532023868110236,0.967888779527559,0.8367894931102362,1.0,0.9505570866141733,0.9677657480314961,0.8180364173228346,1.0,4.51540854819541e-05,3.0041974741834566e-05,0.00013968052630843877,0.0095,0.005,0.9855,0.12041594578792296,1000,128,1234,1.5
simulation 2B,0.9559869962419145,0.9803921568627451,0.8472533292978208,1.0,1.0,1.0,1.0,0.9747076156496064,0.9890501968503937,0.9034202755905512,1.0,0.9742336983267716,0.9890501968503937,0.8989911417322834,1.0,4.936325601465796e-05,3.070800080422487e-05,0.00015313437497752597,0.0,0.0,1.0,0.0,1000,128,1234,2.0
simulation 2B,0.9664407576156323,0.9803921568627451,0.8771929824561403,1.0,1.0,1.0,1.0,0.9808259104330709,0.9890501968503937,0.9264271653543307,1.0,0.9805690821850395,0.9890501968503937,0.9238435039370079,1.0,4.230587702932098e-05,3.004099926329218e-05,0.000131539600806718,0.0,0.0,1.0,0.0,1000,128,1234,2.5
simulation 2B,0.9713512439002927,0.9803921568627451,0.8928571428571429,1.0,1.0,1.0,1.0,0.9836951279527562,0.9890501968503937,0.937992125984252,1.0,0.9835147637795278,0.9890501968503937,0.936761811023622,1.0,4.79809359585488e-05,3.074999949603807e-05,0.00015104822564353522,0.0,0.0,1.0,0.0,1000,128,1234,3.0
simulation 2B,0.9749363523793294,0.9803921568627451,0.9259259259259259,1.0,1.0,1.0,1.0,0.9858337844488191,0.9890501968503937,0.9576771653543307,1.0,0.9857421875000001,0.9890501968503937,0.9573080708661417,1.0,4.764054451970878e-05,3.058197489735903e-05,0.0001380461516419018,0.0,0.0,1.0,0.0,1000,128,1234,3.5
simulation 2B,0.9763100030957194,0.9803921568627451,0.9259259259259259,1.0,1.0,1.0,1.0,0.9866403174212601,0.9890501968503937,0.9576771653543307,1.0,0.9865704355314963,0.9890501968503937,0.9573080708661417,1.0,4.3844254473697217e-05,3.0208976113499375e-05,0.00014645905002907966,0.0,0.0,1.0,0.0,1000,128,1234,4.0
simulation 2B,0.9775810858745902,0.9803921568627451,0.9433962264150944,1.0,1.0,1.0,1.0,0.9873895177165356,0.9890501968503937,0.967888779527559,1.0,0.9873487327755908,0.9890501968503937,0.96751968503937,1.0,4.6740691012018943e-05,3.0625000363215804e-05,0.00013921209979343984,0.0,0.0,1.0,0.0,1000,128,1234,4.5
simulation 2B,0.978437571430348,0.9803921568627451,0.9433962264150944,1.0,1.0,1.0,1.0,0.9878992987204727,0.9890501968503937,0.967888779527559,1.0,0.9878790600393703,0.9890501968503937,0.9677657480314961,1.0,4.795837552228477e-05,3.0499999411404133e-05,0.0001493760505127284,0.0,0.0,1.0,0.0,1000,128,1234,5.0
simulation 2B,0.022754734911963653,0.0,0.0,0.48123969591500215,0.0465,0.0465,0.0465,0.35873851102941173,0.3378982843137255,0.3378982843137255,0.7819079350490195,0.20330925245098036,0.17696078431372547,0.17696078431372547,0.7401677389705882,3.002330199069547e-05,1.3166973576517194e-05,8.846632540553396e-05,0.0,0.9535,0.0465,0.9764732459212593,1000,256,1234,0.5
