model_name,iou,iou_median,iou_lower,iou_upper,precision,recall,f1,rand_index,rand_index_median,rand_index_lower,rand_index_upper,modified_rand_index,modified_rand_index_median,modified_rand_index_lower,modified_rand_index_upper,time,time_lower,time_upper,khat_over,khat_under,khat_exact,kdiff,vocab_size,output_tokens,watermark_type,seed,gap,gap_prop
simulation 3,0.9327855837237456,0.9393937852302559,0.8558536902286903,0.9805194805194806,1.0,0.9998333333333332,0.9999166597216435,0.9862106988483627,0.987893679740958,0.9695953995601173,0.996305672653959,0.9859957663199536,0.9877877184139785,0.968707997311828,0.9962999450146628,0.00018825149153417443,0.00013795592394671985,0.0003772910235966265,0.0,0.0005,0.9995,0.022360679774997897,1000,1024,gumbel,1234,307,0.9000000000000002
simulation 3,0.9327855837237456,0.9393937852302559,0.8558536902286903,0.9805194805194806,1.0,0.9998333333333332,0.9999166597216435,0.9862106988483627,0.987893679740958,0.9695953995601173,0.996305672653959,0.9859957663199536,0.9877877184139785,0.968707997311828,0.9962999450146628,0.00019081850348629813,0.00013925000166636892,0.0003734305486432276,0.0,0.0005,0.9995,0.022360679774997897,1000,1024,gumbel,1234,307,0.9500000000000003
simulation 3,0.9327855837237456,0.9393937852302559,0.8558536902286903,0.9805194805194806,1.0,0.9998333333333332,0.9999166597216435,0.9862106988483627,0.987893679740958,0.9695953995601173,0.996305672653959,0.9859957663199536,0.9877877184139785,0.968707997311828,0.9962999450146628,0.00018880759597777796,0.00013687397668036284,0.00036565625105140483,0.0,0.0005,0.9995,0.022360679774997897,1000,1024,gumbel,1234,307,1.0000000000000002
simulation 3,0.9327855837237456,0.9393937852302559,0.8558536902286903,0.9805194805194806,1.0,0.9998333333333332,0.9999166597216435,0.9862106988483627,0.987893679740958,0.9695953995601173,0.996305672653959,0.9859957663199536,0.9877877184139785,0.968707997311828,0.9962999450146628,0.0001885535259898461,0.00013699999908567406,0.0003698770720802713,0.0,0.0005,0.9995,0.022360679774997897,1000,1024,gumbel,1234,307,1.0500000000000003
simulation 3,0.987180529112425,0.9886914378029079,0.9757382619175834,0.9919224555735057,1.0,0.33383333333333326,0.5005622891415719,0.9376153159539876,0.9379556019479727,0.9348603114886114,0.9384374427515877,0.9376060619866725,0.9379522624572545,0.9348264514380801,0.9384345803309722,0.000146594499992716,0.0001035830026921758,0.0002824263755428546,0.0,1.0,0.0,1.9988746834156461,1000,2048,gumbel,1234,2,0.1
simulation 3,0.9818344467567124,0.9838969404186796,0.9694041867954911,0.9871589085072231,1.0,0.33383333333333326,0.5005622891415719,0.9367348761621428,0.9369756999572545,0.9340500914066316,0.9376116344040059,0.9367198432061401,0.9369652044149975,0.9340182708307889,0.9376040012823644,0.00014662208202025794,0.00010474897235326352,0.00025983157429436665,0.0,1.0,0.0,1.9988746834156461,1000,2048,gumbel,1234,3,0.15000000000000002
simulation 3,0.9728978559713903,0.9744,0.9584,0.9824,1.0,0.33383333333333326,0.5005622891415719,0.9351886060870329,0.9353985061980947,0.9327205924447362,0.9366708521617001,0.9351557636270305,0.9353670195713238,0.9326528484901685,0.9366493840070835,0.00014636363397949026,0.0001061670009221416,0.0002820648977831296,0.0,1.0,0.0,1.9988746834156461,1000,2048,gumbel,1234,5,0.20000000000000004
simulation 3,0.9670381222946657,0.9682034976152624,0.9507154213036566,0.9761526232114467,1.0,0.33383333333333326,0.5005622891415719,0.9340794529246306,0.9341003984489497,0.931596758404067,0.9354886724474841,0.9340233831140083,0.9340498290180752,0.9315021434759709,0.9354452590681485,0.00014746841945452614,0.00010528989796512178,0.0002868350230528449,0.0,1.0,0.0,1.9988746834156461,1000,2048,gumbel,1234,7,0.25000000000000006
simulation 3,0.9524791569630285,0.952755905511811,0.9338582677165355,0.9653543307086614,1.0,0.33383333333333326,0.5005622891415719,0.9315476571564333,0.931659230734001,0.9289484707040792,0.9332522035868038,0.9314359213750305,0.931557137732047,0.9288034413928921,0.9331601290570041,0.00014706055949682196,0.000106039900038013,0.0002750010520685464,0.0,1.0,0.0,1.9988746834156461,1000,2048,gumbel,1234,10,0.30000000000000004
simulation 3,0.9415188100296057,0.942457231726283,0.9206842923794712,0.9548989113530326,1.0,0.3341666666666666,0.5009369144284822,0.9293775320495695,0.9293483031570591,0.9260221704018076,0.9313209880312653,0.9291713755076025,0.9291486493191254,0.9257721856680509,0.9311406555324866,0.0001450083524996444,0.0001033739513331966,0.0002783360737339535,0.0,1.0,0.0,1.9981241202688085,1000,2048,gumbel,1234,14,0.3500000000000001
